"","x"
"Control",100
"ACSS1",4
"ATP6V0E1",4
"CDC16",4
"CEP290",4
"GIPC1",4
"LGALS7",4
"LINGO2",4
"MON1A",4
"SERPINH1",4
"ABAT",3
"ADAM8",3
"ADAMTS13",3
"AGPAT2",3
"AGPAT3",3
"ALKBH5",3
"ANKRD60",3
"APBB1",3
"AQR",3
"ARHGAP1",3
"ARHGAP26",3
"ARHGDIG",3
"ATG4D",3
"ATP5G1",3
"ATP6V1E1",3
"AUP1",3
"BCL11A",3
"BOP1",3
"C14orf169",3
"C16orf78",3
"C17orf74",3
"C1orf137",3
"C4orf27",3
"C6orf136",3
"CACNA1B",3
"CAMTA2",3
"CAPRIN1",3
"CBWD6",3
"CCDC159",3
"CCDC85C",3
"CCDC87",3
"CCNT1",3
"CD200R1",3
"CDC25C",3
"CDCA3",3
"CENPJ",3
"CFAP69",3
"CFL1",3
"CH17-360D5.1",3
"CLEC4D",3
"CLN6",3
"CPEB2",3
"CSNK1A1",3
"CSRP2",3
"DAAM2",3
"DCLK1",3
"DEFB118",3
"DNM2",3
"DSCC1",3
"E2F1",3
"EHBP1",3
"ERMN",3
"EVPLL",3
"EVX1",3
"FAM103A1",3
"FAM199X",3
"FAM26D",3
"FBXO18",3
"FBXO47",3
"FERD3L",3
"FIBP",3
"FKRP",3
"FRG1",3
"FUZ",3
"GART",3
"GBA2",3
"GEMIN2",3
"GIP",3
"GIT1",3
"GJD4",3
"GKN1",3
"GLI2",3
"GNPTAB",3
"GPAM",3
"GPR6",3
"GRIA2",3
"GRIA4",3
"HEPACAM",3
"HEPH",3
"HLA-DOA",3
"HSPB2",3
"HTR3B",3
"IDI1",3
"IL22",3
"INPPL1",3
"IP6K3",3
"IPMK",3
"IPO8",3
"IQSEC2",3
"IRF8",3
"KCNAB1",3
"KCNE1",3
"KCNG2",3
"KCTD16",3
"KIAA1324",3
"KLHL12",3
"KLK4",3
"KRTAP4-12",3
"LEPR",3
"LMAN1",3
"LRRC3",3
"LSG1",3
"LURAP1",3
"LXN",3
"MAGEB16",3
"MAGEC1",3
"MAGED2",3
"MASP1",3
"MED26",3
"MEOX2",3
"MND1",3
"MNX1",3
"MPI",3
"MRPS18B",3
"MSANTD1",3
"MSLN",3
"MTF2",3
"NANP",3
"NCAM1",3
"NCR3LG1",3
"NDUFB2",3
"NPNT",3
"NUDT11",3
"OCIAD2",3
"OPA1",3
"OR4D1",3
"OR4F6",3
"OR51F2",3
"OR5K1",3
"OR8K1",3
"PKD1L3",3
"PLA2G2A",3
"PLD1",3
"POP5",3
"POTEG",3
"POTEI",3
"PPP1R3A",3
"PRAMEF5",3
"PRMT7",3
"PSMB1",3
"PTDSS1",3
"PTH1R",3
"PTP4A3",3
"PTPN14",3
"RAB7B",3
"RALGPS1",3
"RASGRP2",3
"RBM6",3
