ENSG HGNC K.562
ENSG00000004700 RECQL 41
ENSG00000006607 FARP2 7
ENSG00000007341 ST7L 6
ENSG00000008018 PSMB1 309
ENSG00000008441 NFIX 13
ENSG00000011465 DCN 0.1
ENSG00000021776 AQR 22
ENSG00000044524 EPHA3 NA
ENSG00000047365 ARAP2 0.1
ENSG00000049860 HEXB 81
ENSG00000061492 WNT8A 0.1
ENSG00000063241 ISOC2 38
ENSG00000065615 CYB5R4 11
ENSG00000074047 GLI2 NA
ENSG00000075213 SEMA3A 1
ENSG00000075292 ZNF638 37
ENSG00000075303 SLC25A40 37
ENSG00000076555 ACACB 3
ENSG00000077080 ACTL6B 0.3
ENSG00000081377 CDC14B 6
ENSG00000084676 NCOA1 24
ENSG00000086159 AQP6 0.3
ENSG00000088782 DEFB127 NA
ENSG00000089472 HEPH 104
ENSG00000093010 COMT 121
ENSG00000099330 OCEL1 28
ENSG00000100884 CPNE6 NA
ENSG00000103423 DNAJA3 43
ENSG00000103657 HERC1 79
ENSG00000104472 CHRAC1 40
ENSG00000104892 KLC3 2
ENSG00000105792 CFAP69 0.8
ENSG00000105953 OGDH 73
ENSG00000106038 EVX1 0.1
ENSG00000106399 RPA3 38
ENSG00000107105 ELAVL2 NA
ENSG00000108509 CAMTA2 27
ENSG00000109182 CWH43 NA
ENSG00000109674 NEIL3 22
ENSG00000109738 GLRB NA
ENSG00000111276 CDKN1B 66
ENSG00000111319 SCNN1A 0.3
ENSG00000112183 RBM24 NA
ENSG00000114268 PFKFB4 72
ENSG00000114790 ARHGEF26 0.1
ENSG00000114948 ADAM23 NA
ENSG00000115325 DOK1 14
ENSG00000115363 EVA1A 0.2
ENSG00000116205 TCEANC2 5
ENSG00000116793 PHTF1 10
ENSG00000116824 CD2 0.1
ENSG00000117713 ARID1A 121
ENSG00000117862 TXNDC12 76
ENSG00000119203 CPSF3 75
ENSG00000119698 PPP4R4 NA
ENSG00000119927 GPAM 3
ENSG00000120071 KANSL1 21
ENSG00000120251 GRIA2 NA
ENSG00000123612 ACVR1C 0.5
ENSG00000124523 SIRT5 11
ENSG00000124614 RPS10 786
ENSG00000124762 CDKN1A 7
ENSG00000125144 MT1G 6
ENSG00000125520 SLC2A4RG 92
ENSG00000126215 XRCC3 9
ENSG00000126583 PRKCG 0.4
ENSG00000127318 IL22 0.1
ENSG00000128272 ATF4 635
ENSG00000128294 TPST2 38
ENSG00000128310 GALR3 0.6
ENSG00000128383 APOBEC3A 0.3
ENSG00000129460 NGDN 16
ENSG00000130066 SAT1 332
ENSG00000130560 UBAC1 246
ENSG00000131068 DEFB118 NA
ENSG00000131668 BARX1 NA
ENSG00000131943 C19orf12 7
ENSG00000132664 POLR3F 9
ENSG00000132963 POMP 154
ENSG00000133067 LGR6 0.5
ENSG00000134339 SAA2 0.5
ENSG00000135094 SDS 0.7
ENSG00000135387 CAPRIN1 206
ENSG00000136244 IL6 2
ENSG00000136877 FPGS 58
ENSG00000136933 RABEPK 23
ENSG00000136982 DSCC1 27
ENSG00000137449 CPEB2 7
ENSG00000138134 STAMBPL1 0.1
ENSG00000138152 BTBD16 0.1
ENSG00000138613 APH1B 8
ENSG00000139343 SNRPF 78
ENSG00000139714 MORN3 1
ENSG00000139793 MBNL2 52
ENSG00000140836 ZFHX3 0.6
ENSG00000141219 C17orf80 14
ENSG00000141293 SKAP1 0.3
ENSG00000141431 ASXL3 NA
ENSG00000142186 SCYL1 95
ENSG00000142910 TINAGL1 0.5
ENSG00000142959 BEST4 0.2
ENSG00000143643 TTC13 23
ENSG00000144712 CAND2 10
ENSG00000144848 ATG3 21
ENSG00000145536 ADAMTS16 0.2
ENSG00000145675 PIK3R1 6
ENSG00000145736 GTF2H2 4
ENSG00000146618 FERD3L NA
ENSG00000146670 CDCA5 103
ENSG00000149257 SERPINH1 181
ENSG00000149305 HTR3B 0.1
ENSG00000151743 AMN1 6
ENSG00000151778 SERP2 0.1
ENSG00000154415 PPP1R3A 0.1
ENSG00000154485 MMP21 NA
ENSG00000154721 JAM2 0.1
ENSG00000155542 SETD9 4
ENSG00000155755 TMEM237 5
ENSG00000156042 CFAP70 3
ENSG00000157379 DHRS1 11
ENSG00000158008 EXTL1 1
ENSG00000158195 WASF2 415
ENSG00000158315 RHBDL2 0.5
ENSG00000160862 AZGP1 0.2
ENSG00000161204 ABCF3 34
ENSG00000162373 BEND5 NA
ENSG00000163518 FCRL4 NA
ENSG00000163520 FBLN2 0.3
ENSG00000163794 UCN 6
ENSG00000164035 EMCN NA
ENSG00000164176 EDIL3 0.1
ENSG00000164902 PHAX 15
ENSG00000165215 CLDN3 0.3
ENSG00000165688 PMPCA 34
ENSG00000165792 METTL17 51
ENSG00000165995 CACNB2 0.7
ENSG00000166394 CYB5R2 3
ENSG00000166396 SERPINB7 NA
ENSG00000166415 WDR72 0.2
ENSG00000167074 TEF 1
ENSG00000167601 AXL 3
ENSG00000168000 BSCL2 4
ENSG00000168060 NAALADL1 0.8
ENSG00000168928 CTRB2 0.2
ENSG00000169059 VCX3A 24
ENSG00000169071 ROR2 16
ENSG00000169592 INO80E 25
ENSG00000169905 TOR1AIP2 13
ENSG00000170734 POLH 41
ENSG00000170892 TSEN34 27
ENSG00000172179 PRL NA
ENSG00000172940 SLC22A13 0.5
ENSG00000174482 LINGO2 NA
ENSG00000175054 ATR 9
ENSG00000175105 ZNF654 12
ENSG00000175220 ARHGAP1 19
ENSG00000176194 CIDEA 0.7
ENSG00000176597 B3GNT5 24
ENSG00000177485 ZBTB33 38
ENSG00000177954 RPS27 2872
ENSG00000178802 MPI 20
ENSG00000178999 AURKB 125
ENSG00000180155 LYNX1 0.1
ENSG00000180817 PPA1 148
ENSG00000182334 OR5P3 NA
ENSG00000183401 CCDC159 8
ENSG00000183638 RP1L1 0.4
ENSG00000183844 FAM3B 0.1
ENSG00000183864 TOB2 25
ENSG00000184140 OR4F6 NA
ENSG00000184678 HIST2H2BE 265
ENSG00000185049 NELFA 63
ENSG00000186591 UBE2H 69
ENSG00000187266 EPOR 13
ENSG00000187701 OR2T27 NA
ENSG00000188425 NANOS2 0.6
ENSG00000188649 CC2D2B NA
ENSG00000188659 SAXO2 3
ENSG00000189042 ZNF567 5
ENSG00000189190 ZNF600 6
ENSG00000196218 RYR1 4
ENSG00000196335 STK31 0.9
ENSG00000196422 PPP1R26 41
ENSG00000196437 ZNF569 4
ENSG00000196757 ZNF700 19
ENSG00000197275 RAD54B 6
ENSG00000198707 CEP290 18
ENSG00000203880 PCMTD2 23
ENSG00000203907 OOEP 0.1
ENSG00000204086 RPA4 NA
ENSG00000204538 PSORS1C2 0.2
ENSG00000204909 SPINK9 0.9
ENSG00000204952 FBXO47 NA
ENSG00000206075 SERPINB5 0.2
ENSG00000214513 NOTO 0.2
ENSG00000215853 RPTN NA
ENSG00000226372 DCAF8L1 0.1
ENSG00000234224 TMEM229A NA
ENSG00000247315 ZCCHC3 37
ENSG00000254245 PCDHGA3 0.1
ENSG00000255561 FDXACB1 0.8
ENSG00000260001 TGFBR3L 1
ENSG00000261236 BOP1 99
ENSG00000262484 CCER2 1
ENSG00000264522 OTUD7B 11
ENSG00000267508 ZNF285 0.4
ENSG00000269335 IKBKG 20
ENSG00000275074 NUDT18 9
ENSG00000280109 PLAC4 0.1
