id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
GPR174	4	5.4455e-06	3.1855e-05	0.298955	1	3	-1.7059	0.84919	0.92652	1.0	16156	0	-1.7059
PHOSPHO2-KLHL23	4	1.8872e-05	6.9149e-05	0.298955	2	4	-1.3604	0.99998	0.99999	1.0	19114	0	-1.3604
KLHL29	4	2.6013e-05	7.5883e-05	0.298955	3	1	-0.14388	0.87211	0.93931	1.0	16608	0	-0.14388
ECH1	4	2.8034e-05	7.5883e-05	0.298955	4	3	-1.3585	0.35793	0.656	1.0	9515	1	-1.3585
GALNT3	4	6.5967e-05	0.00015254	0.298955	5	4	-1.1676	0.99544	0.99839	1.0	19022	0	-1.1676
GGPS1	4	6.7134e-05	0.00015513	0.298955	6	4	-1.7764	0.99993	0.99998	1.0	19113	0	-1.7764
MAGT1	4	7.8036e-05	0.00016083	0.298955	7	3	-1.3268	0.98098	0.99394	1.0	18730	0	-1.3268
SATB2	4	7.8956e-05	0.00016083	0.298955	8	4	-1.255	0.99992	0.99998	1.0	19112	0	-1.255
ALDH1B1	4	0.00013006	0.00025665	0.298955	9	2	-0.62415	0.93452	0.97673	1.0	17828	0	-0.62415
PSTK	4	0.00015206	0.00033331	0.298955	10	4	-0.80777	0.99857	0.99957	1.0	19084	0	-0.80777
ATG101	4	0.00018208	0.00035248	0.298955	11	2	-0.31274	0.37913	0.67398	1.0	9944	2	-0.31274
MRPS12	4	0.00021538	0.00039443	0.298955	12	2	-0.63231	0.90683	0.96087	1.0	17266	0	-0.63231
CHD4	4	0.00022244	0.00039858	0.298955	13	4	-1.577	0.99978	0.99993	1.0	19111	0	-1.577
CHCHD6	4	0.0002341	0.00042707	0.298955	14	1	0.14952	0.15511	0.44095	1.0	5661	2	0.14952
OR2L2	4	0.00023469	0.00042707	0.298955	15	3	-1.2432	0.94816	0.98234	1.0	18109	0	-1.2432
TNIK	4	0.0002493	0.00043069	0.298955	16	4	-1.1887	0.98302	0.99443	1.0	18775	0	-1.1887
SPANXB1	4	0.00028611	0.00051098	0.298955	17	2	0.089405	0.26093	0.56384	1.0	7681	2	0.089405
KLK12	4	0.00029656	0.00052341	0.298955	18	4	-1.0908	0.9997	0.99991	1.0	19110	0	-1.0908
C14orf80	4	0.00030548	0.00054465	0.298955	19	4	-1.0892	0.99969	0.9999	1.0	19109	0	-1.0892
ZNF853	4	0.00031165	0.00055086	0.298955	20	4	-1.3842	0.99969	0.9999	1.0	19108	0	-1.3842
ANO6	4	0.00032103	0.00058297	0.298955	21	4	-1.7417	0.99968	0.99989	1.0	19107	0	-1.7417
RBM17	4	0.00033812	0.00058815	0.298955	22	3	-1.0842	0.96638	0.98855	1.0	18449	0	-1.0842
