"","id","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","Name","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"1","A1BG",3,0.38344,0.38776,0.851381,9343,1,-0.047189,0.86564,0.8831,0.999927,16504,0,-0.047189,"ENSG00000121410.7",1.69494
"2","A1CF",4,0.054322,0.10513,0.814067,2414,3,-0.3603,0.47092,0.5591,0.999927,10217,1,-0.3603,"ENSG00000148584.10",0.0198112
"3","A2M",4,0.2205,0.28771,0.820598,6549,2,-0.21585,0.35277,0.49386,0.999927,8995,1,-0.21585,"ENSG00000175899.10",0.0063377
"4","A2ML1",4,0.72339,0.67295,0.930787,13814,1,0.068885,0.24179,0.39,0.999927,6926,1,0.068885,"ENSG00000166535.15",0.14498
"5","A3GALT2",4,0.59921,0.5722,0.894736,11883,1,-0.00020936,0.50477,0.57756,0.999927,10632,1,-0.00020936,"ENSG00000184389.8",0
"6","A4GALT",4,0.040018,0.076089,0.743401,1884,2,-0.50096,0.98401,0.98976,0.999927,18800,0,-0.50096,"ENSG00000128274.11",0.0254043
"7","A4GNT",4,0.13027,0.21663,0.820598,4511,2,0.1926,0.015198,0.042755,0.949041,811,2,0.1926,"ENSG00000118017.3",0.0140721
"8","AAAS",4,0.79491,0.74688,0.940545,15185,0,-0.082755,0.19011,0.30808,0.999927,5794,1,-0.082755,"ENSG00000094914.8",36.8155
"9","AACS",4,0.14695,0.22119,0.820598,4862,2,-0.067638,0.021852,0.062753,0.949041,1114,1,-0.067638,"ENSG00000081760.12",2.30954
"10","AADAC",4,0.74332,0.69603,0.932695,14185,0,0.22261,0.21125,0.34437,0.999927,6239,2,0.22261,"ENSG00000114771.9",0.014941
"11","AADACL2",4,0.022069,0.049576,0.728574,1126,3,-0.70403,0.99073,0.99429,0.999927,18923,0,-0.70403,"ENSG00000197953.5",0.0023885
"12","AADACL3",4,0.3495,0.4145,0.865798,9046,1,-0.23687,0.63783,0.65724,0.999927,12402,1,-0.23687,"ENSG00000188984.7",0
"13","AADACL4",4,0.073123,0.14074,0.820598,3162,2,-0.50805,0.33153,0.48123,0.999927,8808,1,-0.50805,"ENSG00000204518.2",0
"14","AADAT",4,0.18825,0.26778,0.820598,5784,2,-0.45088,0.39362,0.51216,0.999927,9407,1,-0.45088,"ENSG00000109576.9",0.0752307
"15","AAED1",4,0.2561,0.32103,0.83311,7319,2,-0.25679,0.94086,0.95335,0.999927,17946,0,-0.25679,"ENSG00000158122.7",4.04586
"16","AAGAB",4,0.018726,0.043368,0.728574,990,1,0.024937,0.30882,0.46707,0.999927,8425,1,0.024937,"ENSG00000103591.8",29.8082
"17","AAK1",4,0.058969,0.11573,0.820598,2598,3,-0.62445,0.95261,0.96657,0.999927,18182,0,-0.62445,"ENSG00000115977.14",1.62975
"18","AAMDC",4,0.45801,0.48033,0.894736,10133,1,-0.12961,0.92287,0.93812,0.999927,17606,0,-0.12961,"ENSG00000087884.10",3.51332
"19","AAMP",4,0.68311,0.62498,0.910168,13123,1,-0.032513,0.42269,0.52633,0.999927,9725,1,-0.032513,"ENSG00000127837.5",37.737
"20","AANAT",4,0.44786,0.47538,0.894736,10018,1,0.4192,0.01116,0.031709,0.906381,633,3,0.4192,"ENSG00000129673.5",0.0113797
"21","AAR2",4,0.76264,0.71377,0.932695,14578,0,0.2474,0.12787,0.23203,0.949041,4374,2,0.2474,"ENSG00000131043.7",9.46448
"22","AARD",4,0.57484,0.55259,0.894736,11571,1,-0.18002,0.93733,0.95133,0.999927,17880,0,-0.18002,"ENSG00000205002.3",0.0241088
"23","AARS",4,0.099797,0.18031,0.820598,3823,1,0.16771,0.06181,0.14694,0.949041,2714,2,0.16771,"ENSG00000090861.11",348.672
"24","AARS2",4,0.41667,0.45886,0.894736,9669,1,-0.061545,0.65289,0.67592,0.999927,12640,1,-0.061545,"ENSG00000124608.4",13.8849
"25","AARSD1",4,0.93458,0.91812,0.981751,17849,0,0.25385,0.25427,0.40032,0.999927,7216,2,0.25385,"ENSG00000266967.2",31.3044
"26","AASDH",4,0.71566,0.66639,0.928842,13679,1,0.14365,0.48316,0.56478,0.999927,10368,1,0.14365,"ENSG00000157426.9",5.94097
"27","AASDHPPT",4,0.44675,0.47538,0.894736,10008,1,-0.0064755,0.23611,0.38042,0.999927,6799,1,-0.0064755,"ENSG00000149313.6",27.4742
"28","AASS",4,0.0045729,0.0097541,0.563324,327,4,-0.34551,0.99543,0.99723,0.999927,19014,0,-0.34551,"ENSG00000008311.10",0.11874
"29","AATF",4,0.96716,0.95728,0.990715,18465,0,0.22088,0.13884,0.23937,0.949041,4628,2,0.22088,"ENSG00000108270.6",39.7309
"30","AATK",4,0.68559,0.62829,0.910168,13174,1,-0.043344,0.89902,0.92124,0.999927,17154,0,-0.043344,"ENSG00000181409.7",0.144537
"31","ABAT",4,0.5145,0.51985,0.894736,10779,1,0.36464,0.23832,0.38525,0.999927,6853,2,0.36464,"ENSG00000183044.7",0.150537
"32","ABCA1",4,0.84632,0.80194,0.943623,16186,0,-0.17666,0.76862,0.78484,0.999927,14670,0,-0.17666,"ENSG00000165029.11",0.0204935
"33","ABCA10",4,0.056983,0.11319,0.820598,2525,1,0.072125,0.012196,0.032528,0.906381,679,1,0.072125,"ENSG00000154263.13",0.0411854
"34","ABCA12",4,0.90416,0.87247,0.96551,17272,0,0.24245,0.13254,0.23504,0.949041,4475,2,0.24245,"ENSG00000144452.10",0.0044112
"35","ABCA13",4,0.10229,0.18161,0.820598,3884,1,0.44192,0.0053818,0.01473,0.748856,356,2,0.44192,"ENSG00000179869.10",0.138656
"36","ABCA2",4,0.21593,0.28562,0.820598,6434,2,-0.38273,0.13537,0.23718,0.949041,4540,1,-0.38273,"ENSG00000107331.12",3.40658
