Var1 Freq
Control 17
ATR 3
CFAP69 3
GPAM 3
GRIA2 3
SAA2 3
ABCF3 2
ACACB 2
ACTL6B 2
ACVR1C 2
ADAM23 2
ADAMTS16 2
AMN1 2
APH1B 2
APOBEC3A 2
AQP6 2
AQR 2
ARAP2 2
ARHGAP1 2
ARHGEF26 2
ARID1A 2
ASXL3 2
ATF4 2
ATG3 2
ATP5C1 2
ATP5G1 2
AURKB 2
AXL 2
AZGP1 2
B3GNT5 2
BARX1 2
BEND5 2
BEST4 2
BOP1 2
BSCL2 2
BTBD16 2
C14orf169 2
C17orf74 2
C17orf80 2
C19orf12 2
CACNB2 2
CAMTA2 2
CAND2 2
CAPRIN1 2
CC2D2B 2
CCDC159 2
CCER2 2
CD2 2
CDC14B 2
CDCA5 2
CDKN1A 2
CDKN1B 2
CEP290 2
CFAP70 2
CH17-360D5.1 2
CHRAC1 2
CIDEA 2
CLDN3 2
COMT 2
CPEB2 2
CPNE6 2
CPSF3 2
CTRB2 2
CWH43 2
CYB5R2 2
CYB5R4 2
DCAF8L1 2
DCN 2
DEFB118 2
DEFB127 2
DHRS1 2
DNAJA3 2
DOK1 2
DSCC1 2
EDIL3 2
ELAVL2 2
EMCN 2
EPHA3 2
EPOR 2
EVA1A 2
EVX1 2
EXTL1 2
FAM103A1 2
FAM173B 2
FAM3B 2
FARP2 2
FBLN2 2
FBXO47 2
FCRL4 2
FDXACB1 2
FERD3L 2
FPGS 2
GALR3 2
GLI2 2
GLRB 2
GTF2H2 2
HEPH 2
HERC1 2
HEXB 2
HIST2H2BE 2
HTR3B 2
IKBKG 2
IL22 2
IL6 2
INO80E 2
ISOC2 2
JAM2 2
KANSL1 2
KLC3 2
LGR6 2
LINGO2 2
LYNX1 2
MBNL2 2
METTL17 2
MMP21 2
MORN3 2
MPI 2
MT1G 2
NAALADL1 2
NANOS2 2
NCOA1 2
NEIL3 2
NEK8 2
NELFA 2
NFIX 2
NGDN 2
NOTO 2
NUDT18 2
OCEL1 2
OGDH 2
OOEP 2
OR2T27 2
OR4F6 2
OR5P3 2
OTUD7B 2
PCDHGA3 2
PCMTD2 2
PCNXL3 2
PFKFB4 2
PHAX 2
PHTF1 2
PIK3R1 2
PLAC4 2
PMPCA 2
POLH 2
POLR3F 2
POMP 2
PPA1 2
PPP1R26 2
PPP1R3A 2
PPP4R4 2
PRKCG 2
PRL 2
PSMB1 2
PSORS1C2 2
RABEPK 2
RAD54B 2
RBM24 2
RECQL 2
RHBDL2 2
ROR2 2
RP1L1 2
RPA3 2
RPA4 2
RPS10 2
RPS27 2
RPTN 2
RYR1 2
SAT1 2
SAXO2 2
SCNN1A 2
SCYL1 2
SDS 2
SELK 2
SEMA3A 2
SEPP1 2
SERP2 2
SERPINB5 2
SERPINB7 2
SERPINH1 2
SETD9 2
SGK494 2
SIRT5 2
SKAP1 2
SLC22A13 2
SLC25A40 2
SLC2A4RG 2
SNRPF 2
SPINK9 2
ST7L 2
STAMBPL1 2
STK31 2
TCEANC2 2
TEF 2
TGFBR3L 2
TINAGL1 2
TMEM110 2
TMEM229A 2
TMEM237 2
TMEM247 2
TMEM57 2
TOB2 2
TOR1AIP2 2
TPST2 2
TSEN34 2
TTC13 2
TXNDC12 2
UBAC1 2
UBE2H 2
UCN 2
VCX3A 2
WASF2 2
WDR72 2
WISP1 2
WNT8A 2
XRCC3 2
ZBTB33 2
ZCCHC3 2
ZFHX3 2
ZNF285 2
ZNF567 2
ZNF569 2
ZNF600 2
ZNF638 2
ZNF654 2
ZNF700 2
