"","x"
"1","PSMA5"
"2","PSMB4"
"3","DARS"
"4","RARS2"
"5","RPL18A"
"6","PSMA7"
"7","DAP3"
"8","NAE1"
"9","MRPL47"
"10","WARS"
"11","RPS9"
"12","RPS10"
"13","SRBD1"
"14","MRPL21"
"15","RPL18"
"16","TARS"
"17","EIF2S1"
"18","DTL"
"19","MRPS5"
"20","MRPS35"
"21","MRPS10"
"22","MRPS25"
"23","PSMC5"
"24","PSMC1"
"25","WEE1"
"26","EIF2B1"
"27","EIF1AD"
"28","GEMIN5"
"29","LARS"
"30","OXA1L"
"31","MRPL51"
"32","CNOT1"
"33","EIF3A"
"34","EIF4A1"
"35","GSPT1"
"36","RPUSD4"
"37","NSUN4"
"38","RABGGTB"
"39","RPL29"
"40","MRPL24"
"41","PSMC4"
"42","MRPS18B"
"43","SAMD4B"
"44","GLE1"
"45","EIF3M"
"46","MRPL38"
"47","PSMD14"
"48","COPS6"
"49","RPL38"
"50","RBBP5"
"51","WDR5"
"52","MRPS31"
"53","METTL14"
"54","RPL13"
"55","KARS"
"56","LARS2"
"57","IARS"
"58","GARS"
"59","PSMD6"
"60","RPL4"
"61","RHOA"
"62","GADD45GIP1"
"63","MRPL37"
"64","YRDC"
"65","GAPDH"
"66","CUL2"
"67","CUL1"
"68","MRPL52"
"69","METTL3"
"70","PABPN1"
"71","UPF1"
"72","RPS21"
"73","MRPS27"
"74","DDX39B"
"75","METTL16"
"76","RPL27A"
"77","HNRNPL"
"78","UBA3"
"79","PSTK"
"80","EIF3B"
"81","NCBP1"
"82","TPT1"
"83","EEF2"
"84","COPS4"
"85","PSMD1"
"86","PSMD7"
"87","PSMB7"
"88","PPA1"
"89","RPS29"
"90","N6AMT1"
"91","PARS2"
"92","PSMD8"
"93","PSMB5"
"94","PSMB6"
"95","DDX3X"
"96","EIF2S3"
"97","PSMD11"
"98","MRPL27"
"99","CNOT2"
"100","MRPL49"
"101","MRPL35"
"102","ABCE1"
"103","COPS2"
"104","EIF6"
"105","EIF3I"
"106","GFM1"
"107","MRPS12"
"108","MRPL22"
"109","MRPL16"
"110","EIF2B5"
"111","TRNAU1AP"
"112","MRPL44"
"113","DHX9"
"114","NCL"
"115","COPS3"
"116","MRPS14"
"117","MTG1"
"118","MRPL39"
"119","EIF3D"
"120","MRPL4"
"121","MRPL9"
"122","MRPL20"
"123","MRPL32"
"124","EEF1A1"
"125","PPP1R15B"
"126","RPL27"
"127","ILF3"
"128","RPS12"
"129","RPL12"
"130","RPL22L1"
"131","RPLP2"
"132","TARS2"
"133","PSMC6"
"134","RPL31"
"135","RBX1"
"136","RPS15"
"137","MTOR"
"138","NOLC1"
"139","WARS2"
"140","HBS1L"
"141","MRPS18C"
"142","YARS2"
"143","HSPA14"
"144","MRPS7"
"145","MRPS24"
"146","DHFR"
"147","MALSU1"
"148","RPL10A"
"149","MRPL42"
"150","QARS"
"151","PSMB1"
"152","RPS6"
"153","RPL23A"
"154","EIF4G1"
"155","RPS4X"
"156","CNOT3"
"157","NCBP2"
"158","MRPS33"
"159","ETF1"
"160","FARSA"
"161","PSMA3"
"162","PSMA2"
"163","PSMA1"
"164","RPS11"
"165","SARS2"
"166","RPS13"
"167","RPS18"
"168","MRPS30"
"169","RPS15A"
"170","RPS8"
"171","PSMD4"
"172","EIF5"
"173","EIF4A3"
"174","MARS"
"175","LRR1"
"176","XRN1"
"177","VARS"
"178","EIF1"
"179","METAP1"
"180","EIF4E"
"181","MAGOH"
"182","RPL15"
"183","POLR2D"
"184","DARS2"
"185","PSMD2"
"186","MRPS18A"
"187","UBE2M"
"188","PSMD3"
"189","NGDN"
"190","MRPS9"
"191","MRPS6"
"192","MRPS15"
"193","NARS2"
"194","MRPL17"
"195","EPRS"
"196","DHX33"
"197","RPL9"
"198","EIF2B3"
"199","YARS"
"200","PSMD13"
"201","HARS"
"202","DDB1"
"203","RARS"
"204","DENR"
"205","SRP9"
"206","LRPPRC"
"207","TUFM"
"208","RPL3"
"209","RPL11"
"210","GATC"
"211","EIF2B4"
"212","PTCD3"
"213","TMA16"
"214","TRUB2"
"215","PSMB2"
"216","TPR"
"217","EIF3J"
"218","DHX36"
"219","DPH5"
"220","RPS2"
"221","SARS"
"222","HARS2"
"223","CARS"
"224","AARS"
"225","CDC123"
"226","MRPL34"
"227","FARSB"
"228","MRPL19"
"229","NARS"
"230","TRMT6"
"231","MRPL18"
"232","QRSL1"
"233","MRPL48"
"234","RPS27"
"235","RPS25"
"236","MRPL11"
"237","MRPS23"
"238","ABCF1"
"239","PSMC3"
"240","RPLP0"
"241","EIF5B"
"242","MRPL40"
"243","EEFSEC"
"244","RPL19"
"245","EIF2B2"
"246","NAT10"
"247","MRPL12"
"248","SEPSECS"
"249","PSMD12"
