Name	Description	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
56184	ENSG00000198712.1	MT-CO2	12154.8
56188	ENSG00000198938.2	MT-CO3	9550.88
56181	ENSG00000198804.2	MT-CO1	7340.45
56193	ENSG00000198886.2	MT-ND4	7088.01
56187	ENSG00000198899.2	MT-ATP6	7080.32
56186	ENSG00000228253.1	MT-ATP8	6648.96
56169	ENSG00000210082.2	MT-RNR2	5132.46
56192	ENSG00000212907.2	MT-ND4L	4312.41
49374	ENSG00000087086.9	FTL	3373.98
56175	ENSG00000198763.3	MT-ND2	3177.46
18501	ENSG00000231500.2	RPS18	2967.41
19142	ENSG00000156508.13	EEF1A1	2389.93
56190	ENSG00000198840.2	MT-ND3	2186.48
19874	ENSG00000112306.7	RPS12	1852.74
35585	ENSG00000089157.11	RPLP0	1839.87
56200	ENSG00000198727.2	MT-CYB	1786.77
49419	ENSG00000142541.12	RPL13A	1682.6
40498	ENSG00000137818.7	RPLP1	1570.51
56171	ENSG00000198888.2	MT-ND1	1311.85
47569	ENSG00000167658.11	EEF2	1307.44
284	ENSG00000074800.9	ENO1	1239.42
49423	ENSG00000142534.2	RPS11	1210.76
32830	ENSG00000118181.6	RPS25	1185.34
41409	ENSG00000140988.11	RPS2	1136.33
56197	ENSG00000198786.2	MT-ND5	1068.58
31531	ENSG00000254772.5	EEF1G	1047.67
48918	ENSG00000105193.4	RPS16	1003.05
2166	ENSG00000122406.8	RPL5	997.851
12803	ENSG00000163682.11	RPL9	948.476
9772	ENSG00000188846.9	RPL14	943.246
25572	ENSG00000161016.11	RPL8	933.249
9759	ENSG00000168028.9	RPSA	905.602
20565	ENSG00000075624.9	ACTB	859.252
44822	ENSG00000108298.5	RPL19	825.242
52972	ENSG00000100316.11	RPL3	807.087
18803	ENSG00000096384.15	HSP90AB1	801.191
40436	ENSG00000174444.10	RPL4	791.622
55558	ENSG00000147403.12	RPL10	787.185
18542	ENSG00000124614.9	RPS10	757.092
30627	ENSG00000110700.2	RPS13	742.961
30124	ENSG00000177600.4	RPLP2	739.324
56198	ENSG00000198695.2	MT-ND6	728.66
56167	ENSG00000211459.2	MT-RNR1	728.604
5290	ENSG00000171863.8	RPS7	727.641
46949	ENSG00000265681.2	RPL17	723.859
31507	ENSG00000167996.11	FTH1	719.787
1361	ENSG00000142937.7	RPS8	705.85
33318	ENSG00000111640.10	GAPDH	704.511
27654	ENSG00000148303.12	RPL7A	685.673
28981	ENSG00000168209.4	DDIT4	669.14
17306	ENSG00000181163.9	NPM1	664.557
27407	ENSG00000136942.10	RPL35	659.446
3206	ENSG00000177954.7	RPS27	647.172
14257	ENSG00000145425.5	RPS3A	640.814
6086	ENSG00000143947.8	RPS27A	629.775
18013	ENSG00000187837.2	HIST1H1C	628.249
34521	ENSG00000110955.4	ATP5B	626.564
21349	ENSG00000106153.12	CHCHD2	607.661
27418	ENSG00000044574.7	HSPA5	603.329
18075	ENSG00000197903.6	HIST1H2BK	598.757
28970	ENSG00000197746.9	PSAP	591.978
46149	ENSG00000184009.5	ACTG1	556.716
6568	ENSG00000034510.4	TMSB10	555.052
24523	ENSG00000147604.9	RPL7	553.967
34147	ENSG00000123416.11	TUBA1B	536.462
45051	ENSG00000131469.8	RPL27	526.303
18398	ENSG00000213719.4	CLIC1	525.539
53406	ENSG00000205542.6	TMSB4X	506.593
31821	ENSG00000084207.11	GSTP1	504.775
18572	ENSG00000198755.6	RPL10A	497.735
25829	ENSG00000137154.8	RPS6	496.14
52405	ENSG00000185686.13	PRAME	496.033
48014	ENSG00000179218.9	CALR	494.454
1287	ENSG00000065978.13	YBX1	483.225
35269	ENSG00000166598.8	HSP90B1	483.061
18302	ENSG00000196230.8	TUBB	477.987
10649	ENSG00000114391.8	RPL24	470.936
34396	ENSG00000135486.13	HNRNPA1	466.982
22042	ENSG00000070669.12	ASNS	465.304
29211	ENSG00000165678.15	GHITM	462.893
43460	ENSG00000167526.9	RPL13	454.14
18538	ENSG00000137309.15	HMGA1	453.812
