"","x"
"1","DIO2"
"2","EEF1A2"
"3","FBXO41"
"4","CELF1"
"5","RPL35A"
"6","NEDD8"
"7","CYFIP1"
"8","PAIP2"
"9","FBN1"
"10","AGTPBP1"
"11","RPUSD3"
"12","FSTL1"
"13","MRPS26"
"14","FBXL22"
"15","EIF2AK1"
"16","ERBB2"
"17","TF"
"18","ESCO1"
"19","FBXW5"
"20","GFM2"
"21","RPL36AL"
"22","FBXO32"
"23","UBE2F"
"24","VARS2"
"25","ABTB1"
"26","RPL37"
"27","FBXW7"
"28","RPS6KB1"
"29","MTERF4"
"30","EIF4EBP1"
"31","RABGGTA"
"32","PRORSD1P"
"33","EIF4E3"
"34","PLEKHN1"
"35","COMMD1"
"36","EIF2A"
"37","TSFM"
"38","RNF7"
"39","LAMB2"
"40","MRPL50"
"41","RPS3"
"42","BRCC3"
"43","CPEB2"
"44","RPL28"
"45","PABPC1"
"46","HRC"
"47","WDTC1"
"48","RPL17"
"49","ZFP36L1"
"50","HSF1"
"51","PABPN1L"
"52","ATG12"
"53","RPL13AP3"
"54","FBXW12"
"55","PSMB11"
"56","KBTBD13"
"57","DPH6"
"58","EFL1"
"59","EIF1AX"
"60","GPLD1"
"61","MKNK2"
"62","MRPS2"
"63","TRIM71"
"64","MAPKAPK5"
"65","TSC1"
"66","CKAP4"
"67","C1QBP"
"68","DCAF17"
"69","ANO8"
"70","LSM14B"
"71","GAS6"
"72","CUL5"
"73","BTBD6"
"74","FBXO44"
"75","EIF2S2"
"76","EIF4E1B"
"77","UCHL3"
"78","MRPS22"
"79","ANG"
"80","APP"
"81","PPP1CA"
"82","PRSS23"
"83","PTK2B"
"84","RPL6"
"85","EIF4A2"
"86","NUCB1"
"87","SENP8"
"88","IGFBP1"
"89","NANOS3"
"90","NANOS2"
"91","FUCA2"
"92","SOCS6"
"93","SOCS3"
"94","RMND1"
"95","AURKAIP1"
"96","SOCS2"
"97","TMEM132A"
"98","IMPACT"
"99","KLHL13"
"100","FBXL12"
"101","EIF3E"
"102","RAB11A"
"103","RPS17"
"104","EIF2AK4"
"105","KLHL42"
"106","KLHL9"
"107","RRBP1"
"108","DSCC1"
"109","KHDRBS1"
"110","GGT3P"
"111","HSP90B1"
"112","PSMA6"
"113","RPL13A"
"114","ASB7"
"115","hCG_2014768"
"116","TOB1"
"117","MRPL14"
"118","MRPL58"
"119","RPS20"
"120","KEAP1"
"121","UBD"
"122","HNRNPD"
"123","ENAM"
"124","VHL"
"125","PSMF1"
"126","PSMB10"
"127","PTP4A2"
"128","KNG1"
"129","CST3"
"130","TIMP1"
"131","C3"
"132","EIF3C"
"133","SPSB2"
"134","RPS27A"
"135","COPS8"
"136","SERPINA1"
"137","SERPINC1"
"138","RPL3L"
"139","NANOS1"
"140","KHSRP"
"141","ZBTB16"
"142","AKT1"
"143","ASB12"
"144","ASB10"
"145","NEURL1"
"146","WFS1"
"147","RC3H1"
"148","DAPK1"
"149","ELAVL1"
"150","SHMT2"
"151","CNOT9"
"152","LARP4B"
"153","FBXO7"
"154","FBXL14"
"155","MAPK1"
"156","PDIK1L"
"157","PENK"
"158","SHISA5"
"159","NOTCH4"
"160","J3QQQ9"
"161","OGFOD1"
"162","MIF4GD"
"163","BPIFB2"
"164","PURA"
"165","FN3KRP"
"166","CDK4"
"167","PSMA8"
"168","UPF3B"
"169","FBXW8"
"170","FBXL16"
"171","NIBAN1"
"172","GUF1"
"173","PIWIL4"
"174","PIWIL3"
"175","UCN"
"176","HABP4"
"177","APOA5"
"178","RBMS3"
"179","ZCCHC13"
"180","EPAS1"
"181","LAMC1"
"182","YBX3"
"183","MTERF3"
"184","RPL36A"
"185","CCN1"
"186","ASB9"
"187","TIA1"
"188","WSB1"
"189","DCAF4"
"190","LTO1"
"191","ATXN2"
"192","LARP4"
"193","AMTN"
"194","FBXO21"
"195","IGF2BP3"
"196","EEF2K"
"197","IREB2"
"198","PTBP1"
"199","RCN1"
"200","PA2G4"
"201","GSPT2"
"202","DCAF7"
"203","ASB17"
"204","ASB15"
"205","ASB13"
"206","DCAF11"
"207","RPS4Y2"
"208","AGO4"
"209","GCN1"
"210","TNRC6C"
"211","EIF5AL1"
"212","BTBD1"
"213","ELAVL4"
"214","MOV10"
"215","CHML"
"216","STT3B"
"217","DCUN1D3"
"218","PDIA6"
"219","EIF4H"
"220","MRPL30"
"221","TNIP1"
"222","RGS2"
"223","EIF2D"
"224","KTN1"
"225","SESN2"
"226","DPH1"
"227","UPF3A"
"228","RPL37A"
"229","ABCA2"
"230","CELF4"
"231","CPEB1"
"232","CCNF"
"233","ALKBH1"
"234","CUL4B"
"235","ASMT"
"236","CUL4A"
"237","CUL3"
"238","F8W1H4"
"239","SCG3"
"240","RPS6KA1"
"241","ASB11"
"242","TRMT10C"
"243","ZC3H15"
"244","RPL24"
"245","RACK1"
"246","EIF5A"
"247","PKMYT1"
"248","COPS5"
"249","DAZL"
"250","PIWIL2"
"251","RPS5"
"252","RPL21"
"253","RPL5"
"254","PDF"
"255","AMELX"
"256","CAND1"
"257","FOLH1B"
"258","A0A0U1RQV5"
"259","TPT1P8"
"260","PATL2"
"261","DDX1"
"262","PUM2"
"263","MXRA8"
"264","APEH"
"265","PYM1"
"266","VIPAS39"
"267","CARS2"
"268","PTAFR"
"269","UQCC2"
"270","SDC2"
"271","APOL1"
"272","RPL37AP8"
"273","DCAF13"
"274","PROC"
"275","ZNF598"
"276","EEF1B2"
"277","JMJD4"
"278","ASB2"
"279","LTN1"
"280","NCK1"
"281","ASB14"
"282","VCAN"
"283","QSOX1"
"284","UBXN7"
"285","EIF3F"
"286","TYMS"
"287","STK35"
"288","GPC3"
"289","MRPL41"
"290","FAM20C"
"291","STT3A"
"292","MEX3D"
"293","FARS2"
"294","FBXO11"
"295","ASB5"
"296","AKT2"
"297","RPS27L"
"298","LMO7"
"299","TARBP2"
"300","ACO1"
"301","KLHL22"
"302","DCAF8"
"303","PSMB9"
"304","PSMB8"
"305","VIM"
"306","EIF3CL"
"307","GTPBP1"
"308","EIF4B"
"309","DCAF6"
"310","ATF4"
"311","MRPL10"
"312","RBM4"
"313","MRPL55"
"314","MELTF"
"315","OTUD6B"
"316","MRPL36"
"317","ROCK1"
"318","TCOF1"
"319","MSLN"
"320","CAPRIN2"
"321","EIF2AK3"
"322","IGF2BP1"
"323","RBM24"
"324","RPSA"
"325","GTPBP2"
"326","PSME3"
"327","MRPL46"
"328","RPL26"
"329","RPS3A"
"330","FASTKD2"
"331","WSB2"
"332","APOB"
"333","DMP1"
"334","PABPC4"
"335","SHMT1"
"336","SKP2"
