id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
VSIG10L	4	0.99998	0.99996	1.0	19114	0	0.86034	2.0053e-05	5.62e-05	0.641089	1	4	0.86034
CAMTA2	4	0.9971	0.99663	0.99982	19054	0	0.66266	2.6013e-05	6.7077e-05	0.641089	2	4	0.66266
C17orf74	4	0.59132	0.56389	0.894736	11778	1	1.0981	7.436e-05	0.00019761	0.73008	3	3	1.0981
MALT1	4	0.90397	0.87247	0.96551	17269	0	0.30202	7.8036e-05	0.00023179	0.73008	4	2	0.30202
LYG2	4	0.62047	0.58041	0.894736	12165	1	0.64585	0.00010759	0.00028359	0.73008	5	3	0.64585
ZNF507	4	0.32605	0.39867	0.861531	8812	2	-0.23429	0.00013006	0.0003675	0.73008	6	1	-0.23429
SHBG	4	0.99984	0.99976	0.999862	19113	0	0.84995	0.00016354	0.00041826	0.73008	7	4	0.84995
METRNL	4	0.45359	0.48033	0.894736	10082	1	0.18848	0.00018208	0.00056018	0.73008	8	1	0.18848
TRUB2	4	0.85115	0.80436	0.943623	16285	0	0.619	0.00018844	0.00057313	0.73008	9	2	0.619
NDUFB9	4	0.9998	0.99972	0.999862	19112	0	0.76742	0.00019698	0.00058401	0.73008	10	4	0.76742
MSANTD1	4	0.99979	0.9997	0.999862	19111	0	0.84636	0.00021293	0.00061095	0.73008	11	4	0.84636
MEOX2	4	0.65319	0.59533	0.894736	12654	1	1.1561	0.00022333	0.00062752	0.73008	12	3	1.1561
NTNG1	4	0.29415	0.36102	0.84532	8149	1	0.34197	0.0002341	0.00063995	0.73008	13	2	0.34197
SLC26A5	4	0.99976	0.99967	0.999862	19110	0	0.84939	0.00024337	0.00065238	0.73008	14	4	0.84939
SNAP29	4	0.99976	0.99967	0.999862	19109	0	0.84141	0.00024433	0.00065238	0.73008	15	4	0.84141
KLK4	4	0.99931	0.99905	0.999836	19099	0	0.76369	0.00024906	0.0006529	0.73008	16	4	0.76369
TMCC2	4	0.99972	0.99961	0.999862	19108	0	0.5966	0.00027898	0.00073785	0.73008	17	4	0.5966
KRTAP19-3	4	0.86449	0.82584	0.954808	16533	0	0.05523	0.00028611	0.0007451	0.73008	18	2	0.05523
C16orf78	4	0.9957	0.99543	0.999296	19028	0	0.69986	0.00029051	0.00079172	0.73008	19	4	0.69986
RBM6	4	0.69817	0.64987	0.925563	13371	1	0.8172	0.00030028	0.00080208	0.73008	20	3	0.8172
BOP1	4	0.98838	0.98718	0.999296	18864	0	1.045	0.00031192	0.00085905	0.7464	21	3	1.045
EFNB2	3	0.89271	0.87206	0.96551	17045	0	0.14463	0.00033163	0.00061509	0.73008	22	1	0.14463
NBPF14	4	0.37317	0.42595	0.875496	9253	1	0.41297	0.00033812	0.0010098	0.748856	23	3	0.41297
UBAP1	4	0.99964	0.99943	0.999852	19107	0	0.51995	0.00036225	0.0010398	0.748856	24	4	0.51995
